experiment,test,variant,x,seconds
01_stack_pool,21-create-many,pool_actif,100,0.000213
01_stack_pool,21-create-many,pool_actif,250,0.000467
01_stack_pool,21-create-many,pool_actif,500,0.000887
01_stack_pool,21-create-many,pool_actif,1000,0.001710
01_stack_pool,21-create-many,pool_inactif,100,0.000942
01_stack_pool,21-create-many,pool_inactif,250,0.003111
01_stack_pool,21-create-many,pool_inactif,500,0.005002
01_stack_pool,21-create-many,pool_inactif,1000,0.009376
01_stack_pool,22-create-many-recursive,pool_actif,100,0.000763
01_stack_pool,22-create-many-recursive,pool_actif,250,0.001756
01_stack_pool,22-create-many-recursive,pool_actif,500,0.003437
01_stack_pool,22-create-many-recursive,pool_actif,1000,0.006956
01_stack_pool,22-create-many-recursive,pool_inactif,100,0.000699
01_stack_pool,22-create-many-recursive,pool_inactif,250,0.001708
01_stack_pool,22-create-many-recursive,pool_inactif,500,0.003458
01_stack_pool,22-create-many-recursive,pool_inactif,1000,0.006853
01_stack_pool,23-create-many-once,pool_actif,100,0.000623
01_stack_pool,23-create-many-once,pool_actif,250,0.001446
01_stack_pool,23-create-many-once,pool_actif,500,0.002938
01_stack_pool,23-create-many-once,pool_actif,1000,0.006125
01_stack_pool,23-create-many-once,pool_inactif,100,0.001177
01_stack_pool,23-create-many-once,pool_inactif,250,0.002959
01_stack_pool,23-create-many-once,pool_inactif,500,0.005994
01_stack_pool,23-create-many-once,pool_inactif,1000,0.012593
